iter	Passed	Remaining
700	1203	513
701	1205	511
702	1206	509
703	1208	507
704	1209	506
705	1211	504
706	1212	502
707	1214	500
708	1216	499
709	1217	497
710	1219	495
711	1220	493
712	1222	491
713	1223	490
714	1225	488
715	1226	486
716	1228	484
717	1229	483
718	1231	481
719	1232	479
720	1234	477
721	1235	475
722	1237	474
723	1239	472
724	1240	470
725	1242	468
726	1243	467
727	1245	465
728	1246	463
729	1248	461
730	1249	459
731	1251	458
732	1252	456
733	1254	454
734	1255	452
735	1257	450
736	1258	449
737	1260	447
738	1261	445
739	1263	443
740	1264	442
741	1266	440
742	1267	438
743	1269	436
744	1270	434
745	1272	433
746	1273	431
747	1275	429
748	1276	427
749	1278	426
750	1280	424
751	1281	422
752	1283	420
753	1284	419
754	1286	417
755	1287	415
756	1289	413
757	1291	412
758	1292	410
759	1294	408
760	1295	406
761	1297	405
762	1298	403
763	1300	401
764	1301	399
765	1302	398
766	1304	396
767	1305	394
768	1307	392
769	1309	391
770	1310	389
771	1311	387
772	1313	385
773	1314	383
774	1316	382
775	1317	380
776	1319	378
777	1320	376
778	1322	375
779	1324	373
780	1325	371
781	1327	370
782	1328	368
783	1330	366
784	1331	364
785	1333	363
786	1335	361
787	1336	359
788	1338	357
789	1339	356
790	1341	354
791	1342	352
792	1343	350
793	1345	349
794	1346	347
795	1348	345
796	1350	343
797	1351	342
798	1353	340
799	1354	338
800	1355	336
801	1357	335
802	1358	333
803	1360	331
804	1361	329
805	1363	328
806	1364	326
807	1366	324
808	1367	322
809	1369	321
810	1370	319
811	1372	317
812	1373	315
813	1375	314
814	1376	312
815	1378	310
816	1379	309
817	1381	307
818	1383	305
819	1384	303
820	1386	302
821	1387	300
822	1389	298
823	1390	297
824	1392	295
825	1393	293
826	1395	291
827	1396	290
828	1398	288
829	1399	286
830	1401	284
831	1402	283
832	1404	281
833	1406	279
834	1407	278
835	1409	276
836	1411	274
837	1413	273
838	1415	271
839	1416	269
840	1418	268
841	1419	266
842	1421	264
843	1422	263
844	1424	261
845	1425	259
846	1427	257
847	1428	256
848	1430	254
849	1431	252
850	1433	250
851	1434	249
852	1436	247
853	1437	245
854	1439	244
855	1441	242
856	1442	240
857	1444	239
858	1445	237
859	1447	235
860	1448	233
861	1450	232
862	1451	230
863	1453	228
864	1454	227
865	1456	225
866	1457	223
867	1459	221
868	1460	220
869	1462	218
870	1463	216
871	1465	215
872	1466	213
873	1468	211
874	1469	209
875	1471	208
876	1472	206
877	1474	204
878	1475	203
879	1477	201
880	1478	199
881	1479	197
882	1481	196
883	1483	194
884	1484	192
885	1486	191
886	1487	189
887	1489	187
888	1490	186
889	1491	184
890	1493	182
891	1494	180
892	1496	179
893	1497	177
894	1499	175
895	1500	174
896	1502	172
897	1503	170
898	1505	169
899	1506	167
900	1508	165
901	1509	164
902	1511	162
903	1512	160
904	1514	158
905	1515	157
906	1517	155
907	1518	153
908	1520	152
909	1521	150
910	1523	148
911	1524	147
912	1526	145
913	1527	143
914	1529	142
915	1530	140
916	1532	138
917	1533	137
918	1535	135
919	1536	133
920	1538	131
921	1539	130
922	1541	128
923	1542	126
924	1544	125
925	1546	123
926	1547	121
927	1549	120
928	1550	118
929	1552	116
930	1553	115
931	1555	113
932	1556	111
933	1558	110
934	1559	108
935	1561	106
936	1562	105
937	1564	103
938	1565	101
939	1567	100
940	1568	98
941	1570	96
942	1571	94
943	1573	93
944	1574	91
945	1576	89
946	1577	88
947	1579	86
948	1580	84
949	1582	83
950	1583	81
951	1585	79
952	1586	78
953	1588	76
954	1589	74
955	1591	73
956	1592	71
957	1594	69
958	1595	68
959	1597	66
960	1598	64
961	1600	63
962	1601	61
963	1603	59
964	1604	58
965	1606	56
966	1607	54
967	1609	53
968	1611	51
969	1612	49
970	1614	48
971	1615	46
972	1617	44
973	1618	43
974	1620	41
975	1621	39
976	1623	38
977	1624	36
978	1626	34
979	1627	33
980	1629	31
981	1630	29
982	1632	28
983	1633	26
984	1635	24
985	1636	23
986	1638	21
987	1639	19
988	1640	18
989	1642	16
990	1643	14
991	1645	13
992	1646	11
993	1648	9
994	1650	8
995	1651	6
996	1652	4
997	1654	3
998	1655	1
999	1657	0
